Item Code,Item Name,Brand,Category,Lot Number,Unit,Available Quantity,Alert Quantity,Sales Price,Tax,Status
IT0001,CORIANDER,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0002,CONTINENTAL PARSLEY,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0003,CABBAGE,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0004,BABY SPINACH 1.5 KILLO,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0005,SALADMIX 1.5 KILLO,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0006,TARRAGON,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0007,MARJORAM,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0008,VIETNAM MINT,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0009,LEMON THYME,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0010,SALAD ONION,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0011,CHINESE BROCCOLI,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0012,CHOY SUM,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0013,SHANGHI,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0014,BOKCHOY,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0015,LEEK,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0016,TURNIPS,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0017,CHICORY,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0018,ENDIVE,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0019,RHUBARB,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0020,OREGANO,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0021,SAGE,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0022,THYME,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0023,ROSEMARY,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0024,CHIVES,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0025,BASIL,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0026,MINT,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0027,SILVER BEAT,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0028,SPINACH,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0029,RADISH,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0030,DUTCH CARROTS,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0031,DILL,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0032,BEETROOT,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0033,SPRING ONION,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0034,PARSLEY,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
IT0035,KALE,VEGGIES,GREEN VEGGIES,,Pcs,99999999.99,0,0,GST(0.00%),Active
