Item Code,Item Name,Brand,Category,Lot Number,Unit,Available Quantity,Alert Quantity,Sales Price,Tax,Status
IT0001,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
IT0002,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
IT0003,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
IT0004,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
IT0005,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
IT0006,Mi Band 4,Xiaomi,Wearables,,Pcs,100,1,"?1,528.00",Quantity(0.00%),Active
IT0007,Mi Band 4,Xiaomi,Wearables,,Pcs,100,1,"?1,699.00",Quantity(0.00%),Active
IT0008,Redmi Airdots,Xiaomi,Audio,,Pcs,100,1,?958.00,Quantity(0.00%),Active
IT0009,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
IT0010,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
IT0011,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
IT0012,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
IT0013,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
IT0014,ZS3,KZ,Audio,,Pcs,100,1,?389.00,Quantity(0.00%),Active
IT0015,Edon Handheld Mini Fan,Edon,Appliances,,Pcs,1,1,?399.00,Quantity(0.00%),Active
IT0016,Edon Handheld Mini Fan,Edon,Appliances,,Pcs,1,1,?399.00,Quantity(0.00%),Active
IT0017,Edon Handheld Mini Fan,Edon,Appliances,,Pcs,1,1,?399.00,Quantity(0.00%),Active
IT0018,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0019,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0020,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0021,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0022,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0023,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0024,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0025,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0026,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0027,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0028,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0029,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0030,Xiaomi Alkaline AA Battery,Xiaomi,Camera Accessories,,Pcs,0,1,?135.00,Quantity(0.00%),Active
